pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
Kepler-1144 b,Kepler-1144,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,17.14647302,0.00009073,-0.00009073,0,,,,,1.990,0.300,-0.160,0,0.178,0.027,-0.014,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5753.00,91.93,-86.29,0,0.96,0.14,-0.07,0,0.98,0.05,-0.06,0,-0.030,0.141,-0.178,0,[Fe/H],4.47,0.06,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h20m10.39s,290.0432936,+47d15m28.39s,47.2578857,1140.5700000,31.7500000,-31.7500000,14.9430000,0.1030000,-0.1030000,13.4330000,0.0310000,-0.0310000,14.9125000,0.0003510,-0.0003510,2016-05-06 09:19:08,2016-05,2016-05-10
Kepler-1145 b,Kepler-1145,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,3.97076766,0.00001110,-0.00001110,0,,,,,1.400,0.110,-0.110,0,0.125,0.010,-0.010,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5064.00,161.02,-117.37,0,0.75,0.05,-0.05,0,0.79,0.05,-0.05,0,-0.130,0.177,-0.193,0,[Fe/H],4.59,0.04,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m13.96s,295.3081524,+43d02m39.85s,43.0444026,691.9610000,14.2975000,-14.2975000,15.4710000,0.1500000,-0.1500000,13.3140000,,,15.4499000,0.0004410,-0.0004410,2016-05-06 09:19:09,2016-05,2016-05-10
Kepler-1146 b,Kepler-1146,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2.35226580,0.00000825,-0.00000825,0,,,,,1.230,0.100,-0.080,0,0.110,0.009,-0.007,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,4692.00,45.94,-42.25,0,0.70,0.02,-0.04,0,0.74,0.03,-0.04,0,-0.060,0.143,-0.158,0,[Fe/H],4.62,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m52.01s,286.7167120,+47d25m32.37s,47.4256580,703.0380000,16.3405000,-16.3405000,15.9530000,0.1260000,-0.1260000,13.5180000,0.0380000,-0.0380000,15.8497000,0.0005270,-0.0005270,2016-05-06 09:19:09,2016-05,2016-05-10
Kepler-1147 b,Kepler-1147,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,10.62784997,0.00009118,-0.00009118,0,,,,,2.610,0.800,-0.510,0,0.233,0.071,-0.045,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5941.00,84.81,-114.44,0,1.14,0.35,-0.13,0,1.09,0.09,-0.06,0,0.110,0.147,-0.142,0,[Fe/H],4.36,0.09,-0.20,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m11.39s,292.5474753,+41d38m34.52s,41.6429221,1657.3600000,79.8450000,-79.8450000,15.6130000,0.1030000,-0.1030000,13.8770000,0.0540000,-0.0540000,15.3564000,0.0003930,-0.0003930,2016-05-06 09:19:10,2016-05,2016-05-10
Kepler-1148 b,Kepler-1148,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,1.10446351,0.00000129,-0.00000129,0,,,,,1.690,0.100,-0.090,0,0.151,0.009,-0.008,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5054.00,99.64,-98.31,0,0.77,0.04,-0.04,0,0.81,0.04,-0.04,0,-0.020,0.146,-0.160,0,[Fe/H],4.58,0.03,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h23m48.87s,290.9536059,+45d43m10.40s,45.7195545,625.6920000,10.4945000,-10.4945000,15.5330000,0.2290000,-0.2290000,13.2010000,0.0270000,-0.0270000,15.2812000,0.0006280,-0.0006280,2016-05-06 09:19:11,2016-05,2016-05-10
Kepler-1149 b,Kepler-1149,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,3.73089898,0.00001502,-0.00001502,0,,,,,1.440,0.260,-0.170,0,0.128,0.023,-0.015,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5833.00,117.20,-177.03,0,1.01,0.18,-0.10,0,1.02,0.07,-0.07,0,0.020,0.149,-0.168,0,[Fe/H],4.43,0.07,-0.14,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h36m45.40s,294.1891824,+45d09m05.49s,45.1515263,1217.7300000,45.6050000,-45.6050000,15.1460000,0.0460000,-0.0460000,13.3010000,0.0380000,-0.0380000,14.9307000,0.0003170,-0.0003170,2016-05-06 09:19:11,2016-05,2016-05-10
Kepler-1152 b,Kepler-1152,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,1.64680191,0.00000267,-0.00000267,0,,,,,0.870,0.050,-0.060,0,0.078,0.004,-0.005,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,3964.00,46.47,-45.68,0,0.53,0.03,-0.03,0,0.55,0.04,-0.03,0,-0.250,0.136,-0.108,0,[Fe/H],4.73,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h21m44.20s,290.4341483,+44d06m28.01s,44.1077802,215.2330000,0.9025000,-0.9025000,15.3100000,0.0530000,-0.0530000,11.6830000,0.0130000,-0.0130000,14.5976000,0.0003810,-0.0003810,2016-05-06 09:19:13,2016-05,2016-05-10
Kepler-1153 b,Kepler-1153,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,1.75583533,0.00000439,-0.00000439,0,,,,,1.730,0.210,-0.110,0,0.154,0.019,-0.010,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5470.00,75.20,-93.55,0,0.88,0.10,-0.05,0,0.91,0.04,-0.04,0,0.030,0.126,-0.164,0,[Fe/H],4.52,0.04,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m35.32s,289.1471849,+45d51m58.07s,45.8661300,1119.4900000,42.0550000,-42.0550000,15.7670000,0.5380000,-0.5380000,14.0290000,0.0540000,-0.0540000,15.7976000,0.0008920,-0.0008920,2016-05-06 09:19:14,2016-05,2016-05-10
Kepler-1155 b,Kepler-1155,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,33.46974300,0.00020030,-0.00020030,0,,,,,2.030,0.450,-0.200,0,0.181,0.040,-0.018,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5842.00,115.89,-141.61,0,1.03,0.22,-0.10,0,1.03,0.07,-0.06,0,0.040,0.141,-0.156,0,[Fe/H],4.43,0.07,-0.16,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h15m16.95s,288.8206058,+39d31m22.34s,39.5228712,1128.7200000,,,14.7990000,0.1370000,-0.1370000,13.1840000,0.0320000,-0.0320000,14.7392000,0.0004760,-0.0004760,2016-05-06 09:19:15,2016-05,2016-05-10
Kepler-1156 b,Kepler-1156,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,11.89520511,0.00006499,-0.00006499,0,,,,,1.320,0.140,-0.090,0,0.118,0.012,-0.008,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5778.00,67.42,-59.01,0,1.00,0.09,-0.06,0,1.00,0.03,-0.04,0,0.020,0.096,-0.095,0,[Fe/H],4.44,0.06,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h15m41.78s,288.9240901,+46d03m27.31s,46.0575865,691.3310000,7.2195000,-7.2195000,14.2620000,0.1260000,-0.1260000,12.6600000,0.0230000,-0.0230000,14.1258000,0.0002190,-0.0002190,2016-05-06 09:19:16,2016-05,2016-05-10
